slack_user_id,ghost_user_id,display_name,first_name,file
UJ63WMHJS,kwang,kara,Kara,kara
UCC7LHYBE,mfuncke,MichelleF,Michelle,@mfuncke
UJ63WMHJS,kwang,kara,Kara,@kwang
